country_names,gdp_actual,gdp_reciprocal20,exports_actual,exports_reciprocal20,imports_actual,imports_reciprocal20,gdp_pct_change,exports_pct_change,imports_pct_change
Australia,572816.0,570999.0,159738.0,139860.0,159752.0,140046.0,-0.3,-12.4,-12.3
Austria,257392.0,255781.0,170840.0,150095.0,170225.0,149714.0,-0.6,-12.1,-12.0
Belgium and Luxembourg,319438.0,316846.0,296365.0,260748.0,296019.0,260563.0,-0.8,-12.0,-12.0
Canada,964107.0,928702.0,479598.0,369493.0,482729.0,371148.0,-3.7,-23.0,-23.1
China,5.830126e6,5.816154e6,1.038382e6,906343.0,1.039376e6,908286.0,-0.2,-12.7,-12.6
Colombia,233759.0,231941.0,38387.0,32925.0,39024.0,33399.0,-0.8,-14.2,-14.4
Denmark,146771.0,145585.0,131543.0,115686.0,130587.0,114960.0,-0.8,-12.1,-12.0
Finland,145937.0,145320.0,96793.0,85746.0,96004.0,85165.0,-0.4,-11.4,-11.3
France,1.757751e6,1.748607e6,869253.0,761603.0,863887.0,758122.0,-0.5,-12.4,-12.2
Germany,2.469434e6,2.451996e6,1.477577e6,1.286483e6,1.469994e6,1.281293e6,-0.7,-12.9,-12.8
Greece,212840.0,211993.0,62297.0,55001.0,62383.0,55176.0,-0.4,-11.7,-11.6
India,2.2795e6,2.27149e6,174735.0,151586.0,173114.0,150321.0,-0.4,-13.2,-13.2
Ireland,155097.0,154833.0,175260.0,156763.0,175073.0,156589.0,-0.2,-10.6,-10.6
Italy,1.593852e6,1.590472e6,613107.0,538093.0,608644.0,535420.0,-0.2,-12.2,-12.0
Japan,3.791544e6,3.780291e6,1.205595e6,1.036942e6,1.206419e6,1.040748e6,-0.3,-14.0,-13.7
Mexico,970397.0,949191.0,241094.0,192658.0,244406.0,194535.0,-2.2,-20.1,-20.4
Netherlands,495013.0,490873.0,381022.0,333016.0,380400.0,332561.0,-0.8,-12.6,-12.6
Norway,182859.0,181765.0,109078.0,96062.0,108395.0,95599.0,-0.6,-11.9,-11.8
Portugal,181395.0,182652.0,144355.0,132476.0,144305.0,132547.0,0.7,-8.2,-8.1
ROW,1.3717911e7,1.3587821e7,2.992724e6,2.494541e6,3.006866e6,2.508113e6,-0.9,-16.6,-16.6
South Korea,929230.0,922334.0,323564.0,277143.0,322733.0,276565.0,-0.7,-14.3,-14.3
Spain,1.076664e6,1.071517e6,393040.0,345850.0,392250.0,345850.0,-0.5,-12.0,-11.8
Sweden,274075.0,272570.0,202471.0,177643.0,201116.0,176662.0,-0.5,-12.3,-12.2
United Kingdom,1.787023e6,1.774674e6,871613.0,756429.0,867691.0,753887.0,-0.7,-13.2,-13.1
United States,1.171782e7,5.486442e6,2.600959e6,1.632172e6,2.607995e6,1.628088e6,-53.2,-37.2,-37.6
